Date,Model,MAE,RMSE,
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
2025-12-09_12-39-52,Prophet_Gujarat,33.36578200272991,42.21595931328146,2025-11-01,494.5925863709437,440.594892746851,548.6599833221578
